method,seed,evaluation_n,numeric_exact_count,numeric_exact,tagged_exact_count,tagged_exact,format_count,format_rate,approx_whitespace_truncation_rate,reward_mean,reward_variance,kl_native_mean,kl_native_auc,kl_semantics,clip_fraction,zero_reward_std_group_fraction,training_seconds,peak_gpu_memory_mb,sampled_completions_per_second,observed_optimizer_steps,observed_rollout_groups,observed_generated_completions
ppo,2025,400,50,0.125,50,0.125,397,0.9925,0.0,0.12174999924376607,0.01417493608211632,2.143047255575657,2.142474066428464,sequence_sum,0.01599876115564257,,930.8254367,4870.3037109375,0.4297261164435903,200,100,400
ppo,2026,400,12,0.03,12,0.03,371,0.9275,0.0,0.11909249948337675,0.011589102097158476,3.6190646532177926,3.624661549474254,sequence_sum,0.02266456119948998,,928.5836297999995,4870.3037109375,0.4307635706286928,200,100,400
ppo,2027,400,29,0.0725,29,0.0725,364,0.91,0.0,0.1431124999281019,0.016441802853401914,2.468803849518299,2.477732506665317,sequence_sum,0.024510292331688107,,927.8280316,4870.3037109375,0.4311143728975476,200,100,400
grpo,2025,400,157,0.3925,157,0.3925,398,0.995,0.0,0.42000000409781935,0.0854356068530771,0.004666898105282371,0.004688009330067331,per_token,0.0,0.31,372.5906433,2957.95751953125,1.073564264677282,200,100,400
grpo,2026,400,145,0.3625,145,0.3625,397,0.9925,0.0,0.39612500041723253,0.09037466722916487,0.003598735228979422,0.003598802236369714,per_token,0.0,0.4,373.7732250000008,2957.98486328125,1.0701676129958189,200,100,400
grpo,2027,400,137,0.3425,137,0.3425,399,0.9975,0.0,0.3813750017806888,0.08757732020334141,0.004057031894719074,0.004051883853936236,per_token,0.0,0.29,364.3236130999994,2649.9248046875,1.097924992004864,200,100,400
