seed,evaluation_n,exact_matches,exact_match,formatted_answers,formatted_answer_rate,reward_mean,reward_variance_over_training,kl_native_mean,kl_per_token_mean,kl_per_token_auc,reward_zero_group_fraction,clip_fraction,training_seconds,peak_gpu_memory_mb,generated_tokens,generated_tokens_per_second,trajectory_rows,resolved_model_revision
ppo:2025,400,0,0.0,0,0.0,-0.10088000155985355,1.909696693401219e-06,6.42558668255806,0.10039979191496969,0.09980639531230084,,0.07541015625,417.5026628000196,3758.93505859375,25600,61.316974191999805,100,7ae557604adf67be50417f59c2c2f167def9a775
ppo:2026,400,0,0.0,0,0.0,-0.10092500142753125,1.890783650861719e-06,6.909169807434082,0.10795577824115753,0.10777469355650622,,0.07421875,419.48009990004357,3758.93505859375,25600,61.027924819556716,100,7ae557604adf67be50417f59c2c2f167def9a775
ppo:2027,400,0,0.0,0,0.0,-0.10113500118255615,2.0952263162408598e-06,6.351827578544617,0.09924730591475964,0.0988716290830964,,0.0684765625,420.0230786000611,3758.93505859375,25600,60.94903186111801,100,7ae557604adf67be50417f59c2c2f167def9a775
grpo:2025,400,0,0.0,0,0.0,-0.10087000161409378,2.508265762331711e-06,0.00024266526335850358,0.00024266526335850358,0.000242774908304514,0.7,0.0,224.95603339991067,2567.57958984375,25600,113.80001511002001,201,7ae557604adf67be50417f59c2c2f167def9a775
grpo:2026,400,0,0.0,0,0.0,-0.10071000158786773,1.4703068785339366e-06,0.00023312196135520934,0.00023312196135520934,0.0002332326848453014,0.7,0.0,223.69038130005356,2567.57958984375,25600,114.44390166093329,201,7ae557604adf67be50417f59c2c2f167def9a775
grpo:2027,400,0,0.0,0,0.0,-0.100940001308918,2.771836005768654e-06,0.00016393445432186127,0.00016393445432186127,0.00016374121087804508,0.7,0.0,223.14765399997123,2567.57958984375,25600,114.72224574677044,201,7ae557604adf67be50417f59c2c2f167def9a775
